Entity,Code,Year,Any opioid death rates (CDC WONDER),Cocaine overdose death rates (CDC WONDER),Heroin overdose death rates (CDC WONDER),Synthetic opioids death rates (CDC WONDER),Prescription Opioids death rates (US CDC WONDER)
United States,USA,1999,2.9,1.4,0.7,0.3,1.2
United States,USA,2000,3,1.3,0.7,0.3,1.3
United States,USA,2001,3.3,1.3,0.6,0.3,1.7
United States,USA,2002,4.1,1.6,0.7,0.4,2.3
United States,USA,2003,4.5,1.8,0.7,0.5,2.6
United States,USA,2004,4.7,1.9,0.6,0.6,2.9
United States,USA,2005,5.1,2.1,0.7,0.6,3.2
United States,USA,2006,5.9,2.5,0.7,0.9,3.9
United States,USA,2007,6.1,2.2,0.8,0.7,4.2
United States,USA,2008,6.4,1.7,1,0.8,4.3
United States,USA,2009,6.6,1.4,1.1,1,4.4
United States,USA,2010,6.8,1.3,1,1,4.7
United States,USA,2011,7.3,1.5,1.4,0.8,4.9
United States,USA,2012,7.4,1.4,1.9,0.8,4.5
United States,USA,2013,7.9,1.6,2.7,1,4.4
United States,USA,2014,9,1.7,3.4,1.8,4.6
United States,USA,2015,10.4,2.1,4.1,3.1,4.7
United States,USA,2016,13.3,3.2,4.9,6.2,5.2
United States,USA,2017,14.9,4.3,4.9,9,5.2
United States,USA,2018,14.6,4.5,4.7,9.9,4.5
United States,USA,2019,15.5,4.9,4.4,11.4,4.2
United States,USA,2020,21.4,6,4.1,17.8,4.9
