iter	Passed	Remaining
0	46	4596
1	100	4912
2	145	4712
3	182	4385
4	213	4048
5	249	3910
6	285	3790
7	329	3790
8	368	3730
9	412	3715
10	461	3731
11	498	3657
12	532	3565
13	561	3451
14	599	3394
15	630	3311
16	665	3251
17	699	3185
18	729	3108
19	769	3079
20	813	3058
21	856	3035
22	886	2967
23	909	2880
24	937	2812
25	961	2737
26	993	2686
27	1022	2630
28	1052	2578
29	1084	2530
30	1119	2492
31	1155	2456
32	1190	2417
33	1354	2630
34	1389	2580
35	1426	2535
36	1459	2485
37	1496	2440
38	1538	2405
39	1579	2368
40	1622	2334
41	1661	2294
42	1699	2252
43	1737	2211
44	1781	2176
45	1814	2130
46	1858	2095
47	1902	2060
48	1943	2022
49	1978	1978
50	2019	1939
51	2052	1894
52	2100	1862
53	2138	1821
54	2176	1780
55	2210	1736
56	2247	1695
57	2284	1654
58	2313	1607
59	2348	1565
60	2373	1517
61	2400	1471
62	2431	1427
63	2461	1384
64	2500	1346
65	2534	1305
66	2562	1262
67	2591	1219
68	2620	1177
69	2647	1134
70	2671	1091
71	2701	1050
72	2728	1009
73	2757	968
74	2790	930
75	2830	893
76	2861	854
77	2897	817
78	2930	779
79	2962	740
80	2996	702
81	3037	666
82	3074	629
83	3108	592
84	3133	553
85	3158	514
86	3186	476
87	3212	438
88	3240	400
89	3273	363
90	3304	326
91	3336	290
92	3370	253
93	3402	217
94	3425	180
95	3452	143
96	3479	107
97	3512	71
98	3542	35
99	3572	0
