iter	Logloss
0	0.6634725506
1	0.6391875021
2	0.6177734204
3	0.6017804949
4	0.5880877034
5	0.5723889383
6	0.557192556
7	0.5472071358
8	0.535466312
9	0.5236737541
10	0.5129421106
11	0.5047372539
12	0.4971250898
13	0.4888300521
14	0.4813215706
15	0.4763229027
16	0.4715122694
17	0.4658272561
18	0.4614759295
19	0.4578412517
20	0.4541173356
21	0.4500182934
22	0.4461333028
23	0.4422321534
24	0.4403698096
25	0.4368570735
26	0.4336100803
27	0.4309432641
28	0.4290973363
29	0.4277350608
30	0.4254798461
31	0.4234638857
32	0.4224973529
33	0.4202005622
34	0.4188754907
35	0.4168047959
36	0.4159863933
37	0.4150240609
38	0.4137544096
39	0.4132672428
40	0.4124302382
41	0.4112451961
42	0.4097637219
43	0.408800318
44	0.4080153905
45	0.4072060317
46	0.4067078923
47	0.4065766495
48	0.4058089524
49	0.4052167742
50	0.4043072475
51	0.4040010431
52	0.4035232201
53	0.4031636099
54	0.4027459648
55	0.4022652272
56	0.4018118355
57	0.4013615726
58	0.4012744775
59	0.4009048805
60	0.4001884032
61	0.3998479093
62	0.3992853915
63	0.3989738722
64	0.3984918916
65	0.3980853477
66	0.3976701029
67	0.396963741
68	0.3964479425
69	0.3953626826
70	0.3950915819
71	0.3949388225
72	0.3947225849
73	0.3943940923
74	0.3940472549
75	0.3938032857
76	0.3930936663
77	0.39263766
78	0.3917446351
79	0.3912539536
80	0.390825936
81	0.3902961217
82	0.3901351757
83	0.3899791589
84	0.3894085831
85	0.388821934
86	0.3887446543
87	0.3885976384
88	0.3880976988
89	0.3875062064
90	0.3869899793
91	0.3864844676
92	0.3860596646
93	0.3855923428
94	0.3851270354
95	0.3844148443
96	0.3843019893
97	0.3840854945
98	0.3839239056
99	0.3838438827
