iter	Passed	Remaining
0	2	208
1	7	374
2	9	304
3	11	268
4	12	230
5	13	217
6	15	208
7	17	200
8	19	201
9	21	197
10	23	192
11	25	187
12	27	183
13	29	179
14	52	295
15	55	291
16	57	279
17	67	306
18	69	294
19	70	283
20	72	273
21	74	263
22	82	274
23	85	270
24	87	261
25	90	257
26	91	248
27	95	246
28	97	237
29	98	230
30	99	222
31	100	214
32	102	207
33	103	201
34	105	195
35	106	189
36	107	182
37	108	176
38	109	171
39	110	165
40	111	160
41	112	155
42	113	150
43	114	145
44	115	141
45	125	146
46	126	142
47	126	137
48	127	133
49	128	128
50	130	124
51	131	121
52	132	117
53	133	113
54	134	109
55	135	106
56	136	103
57	137	99
58	140	97
59	141	94
60	142	90
61	143	87
62	144	84
63	145	81
64	146	78
65	147	76
66	148	73
67	149	70
68	150	67
69	151	65
70	152	62
71	155	60
72	156	57
73	182	64
74	183	61
75	184	58
76	186	55
77	187	52
78	188	50
79	189	47
80	190	44
81	191	42
82	192	39
83	194	36
84	195	34
85	196	31
86	197	29
87	198	27
88	199	24
89	200	22
90	201	19
91	203	17
92	203	15
93	204	13
94	205	10
95	207	8
96	208	6
97	209	4
98	210	2
99	215	0
