iter	Passed	Remaining
0	1	128
1	2	114
2	3	107
3	4	104
4	5	105
5	7	122
6	9	123
7	10	119
8	11	115
9	12	114
10	13	111
11	15	110
12	16	107
13	17	108
14	18	105
15	19	102
16	20	100
17	22	103
18	23	101
19	24	99
20	25	97
21	26	94
22	27	92
23	28	89
24	29	87
25	29	84
26	30	82
27	31	80
28	31	78
29	32	75
30	33	73
31	33	71
32	34	69
33	35	69
34	36	67
35	36	65
36	37	63
37	37	61
38	38	60
39	38	58
40	39	56
41	39	55
42	40	53
43	40	51
44	41	50
45	41	48
46	42	47
47	42	46
48	42	44
49	43	43
50	43	42
51	44	40
52	44	39
53	45	38
54	45	37
55	45	36
56	46	34
57	46	33
58	47	32
59	47	31
60	47	30
61	48	29
62	48	28
63	48	27
64	49	26
65	50	25
66	50	24
67	50	23
68	51	23
69	51	22
70	51	21
71	52	20
72	52	19
73	52	18
74	53	17
75	53	16
76	53	16
77	53	15
78	54	14
79	54	13
80	54	12
81	55	12
82	55	11
83	55	10
84	56	9
85	56	9
86	56	8
87	56	7
88	57	7
89	57	6
90	58	5
91	58	5
92	58	4
93	59	3
94	59	3
95	59	2
96	59	1
97	60	1
98	60	0
99	60	0
